,ngram,ngram_index
997,tummy stand foot,11575
998,stand foot inches,10316
999,foot inches lbs,3878
1000,inches lbs perfect,4959
1001,lbs perfect length,5383
1002,perfect length platform,7717
1003,length platform flats,5494
1004,platform flats dress,8012
1005,flats dress favorite,3751
1006,dress favorite neck,2573
1007,favorite neck tee,3319
1008,neck tee couple,6914
1009,tee couple necklaces,10858
1010,couple necklaces good,2038
1011,necklaces good go,6922
1012,maybe curves way,6618
1013,curves way hot,2116
1014,way hot mess,12091
1015,hot mess soooo,4835
1016,mess soooo long,6688
1017,soooo long cut,10243
1018,long cut low,5863
1019,cut low chest,2145
1020,low chest slim,6367
1021,chest slim cut,1485
1022,slim cut usually,9945
1023,cut usually flattering,2163
1024,usually flattering somehow,11776
1025,flattering somehow dress,3814
1026,somehow dress anything,10206
1027,dress anything really,2525
1028,anything really shiny,317
1029,really shiny material,8523
1030,shiny material heavier,9295
1031,material heavier anticipated,6543
1032,heavier anticipated warm,4573
1033,anticipated warm weather,304
1034,warm weather super,12025
1035,weather super tall,12281
1036,super tall skinny,10666
1037,tall skinny boobs,10811
1038,skinny boobs go,9828
1039,boobs go send,1003
1040,go send back,4182
1041,always searching dressed,244
1042,searching dressed tees,9098
1043,dressed tees fabulous,2740
1044,tees fabulous true,10867
1045,fabulous true size,3253
1046,true size great,11482
1047,size great quality,9659
1048,light fun wear,5521
1049,fun wear shirt,4011
1050,wear shirt delicate,12193
1051,shirt delicate worn,9308
1052,delicate worn dress,2327
1053,worn dress jeans,12673
1054,dress jeans would,2613
1055,jeans would much,5135
1056,would much recommend,12772
1057,much recommend love,6845
1058,wasnt sure expect,12063
1059,sure expect got,10678
1060,expect got sale,3086
1061,got sale glad,4319
1062,sale glad much,8997
1063,glad much prettier,4148
1064,much prettier person,6844
1065,prettier person soft,8125
1066,person soft silky,7806
1067,soft silky great,10168
1068,silky great fit,9547
1069,great fit also,4401
1070,fit also versatile,3519
1071,also versatile mix,215
1072,versatile mix match,11837
1073,third pair hei,11008
1074,pair hei hei,7511
1075,hei hei shorts,4602
1076,hei shorts pleased,4603
1077,shorts pleased previous,9424
1078,pleased previous two,8020
1079,previous two shorts,8176
1080,two shorts sand,11613
1081,shorts sand city,9426
1082,sand city short,9019
1083,city short dobby,1522
1084,short dobby beach,9371
1085,dobby beach comber,2477
1086,beach comber shorts,626
1087,comber shorts nice,1738
1088,shorts nice materials,9423
1089,nice materials tight,7031
1090,materials tight perfect,6585
1091,tight perfect summer,11114
1092,perfect summer typically,7745
1093,summer typically wear,10615
1094,typically wear depending,11642
1095,wear depending material,12153
1096,depending material design,2341
1097,material design bought,6534
1098,design bought size,2354
1099,bought size fits,1110
1100,size fits nicely,9646
1101,love pants figure,6259
1102,pants figure flattering,7564
1103,figure flattering fabric,3433
1104,flattering fabric stretch,3773
1105,fabric stretch holds,3230
1106,stretch holds well,10469
1107,holds well sag,4779
1108,well sag end,12391
1109,sag end day,8972
1110,end day size,2885
1111,day size hits,2249
1112,size hits ankle,9663
1113,hits ankle bone,4754
1114,ankle bone love,276
1115,bone love much,998
1116,love much went,6251
1117,much went order,6856
1118,went order second,12420
1119,order second pair,7356
1120,second pair size,9114
1121,pair size sold,7520
1122,size sold ordered,9744
1123,sold ordered see,10194
1124,ordered see size,7404
1125,see size bigger,9141
1126,size bigger works,9608
1127,bigger works think,799
1128,works think may,12664
1129,think may give,10979
1130,may give looser,6602
1131,give looser look,4125
1132,looser look comfy,6131
1133,look comfy happy,5931
1134,comfy happy wear,1821
1135,happy wear booties,4553
1136,wear booties tunics,12138
1137,booties tunics peasant,1018
